450000  广西壮族自治区	1
451123000000	富川瑶族自治县	3
451123100000	富阳镇	4
451123101000	白沙镇	4
451123102000	莲山镇	4
451123103000	古城镇	4
451123104000	福利镇	4
451123105000	麦岭镇	4
451123106000	葛坡镇	4
451123107000	城北镇	4
451123108000	朝东镇	4
451123200000	新华乡	4
451123201000	石家乡	4
451123203000	柳家乡	4
451200000000	河池市	2
451201000000	市辖区	3
451202000000	金城江区	3
451202001000	金城江街道	4
451202101000	东江镇	4
451202102000	六圩镇	4
451202103000	六甲镇	4
451202104000	河池镇	4
451202105000	拔贡镇	4
451202106000	九圩镇	4
451202107000	五圩镇	4
451202200000	白土乡	4
451202203000	侧岭乡	4
451202204000	保平乡	4
451202205000	长老乡	4
451203000000	宜州区	3
451203100000	庆远镇	4
451203101000	三岔镇	4
451203102000	洛西镇	4
451203103000	怀远镇	4
451203104000	德胜镇	4
451203105000	石别镇	4
451203106000	北山镇	4
451203107000	刘三姐镇	4
451203108000	洛东镇	4
451203200000	祥贝乡	4
451203203000	屏南乡	4
451203207000	福龙瑶族乡	4
451203208000	北牙瑶族乡	4
451203210000	同德乡	4
451203211000	安马乡	4
451203213000	龙头乡	4
451221000000	南丹县	3
451221100000	城关镇	4
451221101000	大厂镇	4
451221102000	车河镇	4
451221103000	芒场镇	4
451221104000	六寨镇	4
451221105000	月里镇	4
451221106000	吾隘镇	4
451221107000	罗富镇	4
451221202000	中堡苗族乡	4
451221203000	八圩瑶族乡	4
451221204000	里湖瑶族乡	4
451222000000	天峨县	3
451222100000	六排镇	4
451222101000	向阳镇	4
451222200000	岜暮乡	4
451222201000	八腊瑶族乡	4
451222203000	纳直乡	4
451222204000	更新乡	4
451222206000	下老乡	4
451222207000	坡结乡	4
451222208000	三堡乡	4
451223000000	凤山县	3
451223100000	凤城镇	4
451223101000	长洲镇	4
451223102000	三门海镇	4
451223201000	砦牙乡	4
451223203000	乔音乡	4
451223205000	金牙瑶族乡	4
451223207000	中亭乡	4
451223208000	平乐瑶族乡	4
451223209000	江洲瑶族乡	4
451224000000	东兰县	3
451224100000	东兰镇	4
451224101000	隘洞镇	4
451224102000	长乐镇	4
451224103000	三石镇	4
451224104000	武篆镇	4
451224105000	长江镇	4
451224200000	泗孟乡	4
451224201000	兰木乡	4
451224203000	巴畴乡	4
451224204000	金谷乡	4
451224205000	三弄瑶族乡	4
451224206000	大同乡	4
451224207000	花香乡	4
451224208000	切学乡	4
451225000000	罗城仫佬族自治县	3
451225100000	东门镇	4
451225101000	龙岸镇	4
451225102000	黄金镇	4
451225103000	小长安镇	4
451225105000	四把镇	4
451225106000	天河镇	4
451225107000	怀群镇	4
451225200000	宝坛乡	4
451225202000	乔善乡	4
451225203000	纳翁乡	4
451225204000	兼爱乡	4
451226000000	环江毛南族自治县	3
451226100000	思恩镇	4
451226101000	水源镇	4
451226102000	洛阳镇	4
451226103000	川山镇	4
451226104000	明伦镇	4
451226105000	东兴镇	4
451226200000	大才乡	4
451226202000	下南乡	4
451226204000	大安乡	4
451226205000	长美乡	4
451226206000	龙岩乡	4
451226207000	驯乐苗族乡	4
451227000000	巴马瑶族自治县	3
451227100000	巴马镇	4
451227101000	甲篆镇	4
451227102000	燕洞镇	4
451227202000	那社乡	4
451227203000	所略乡	4
451227205000	西山乡	4
451227207000	东山乡	4
451227208000	凤凰乡	4
451227209000	百林乡	4
451227210000	那桃乡	4
451228000000	都安瑶族自治县	3
451228100000	安阳镇	4
451228101000	高岭镇	4
451228102000	地苏镇	4
451228103000	下坳镇	4
451228104000	拉烈镇	4
451228105000	百旺镇	4
451228106000	澄江镇	4
451228107000	大兴镇	4
451228108000	拉仁镇	4
451228109000	永安镇	4
451228204000	东庙乡	4
451228208000	隆福乡	4
451228209000	保安乡	4
451228210000	板岭乡	4
451228212000	三只羊乡	4
451228213000	龙湾乡	4
451228214000	菁盛乡	4
451228217000	加贵乡	4
451228219000	九渡乡	4
451229000000	大化瑶族自治县	3
451229100000	大化镇	4
451229101000	都阳镇	4
451229102000	岩滩镇	4
451229103000	北景镇	4
451229200000	共和乡	4
451229201000	贡川乡	4
451229202000	百马乡	4
451229203000	古河乡	4
451229204000	古文乡	4
451229205000	江南乡	4
451229206000	羌圩乡	4
451229207000	乙圩乡	4
451229210000	板升乡	4
451229211000	七百弄乡	4
451229213000	雅龙乡	4
451229214000	六也乡	4
451300000000	来宾市	2
451301000000	市辖区	3
451302000000	兴宾区	3
451302001000	城东街道	4
451302002000	城北街道	4
451302003000	河西街道	4
451302005000	来华街道	4
451302101000	凤凰镇	4
451302102000	良江镇	4
451302103000	小平阳镇	4
451302104000	迁江镇	4
451302105000	石陵镇	4
451302106000	平阳镇	4
451302107000	蒙村镇	4
451302108000	大湾镇	4
451302109000	桥巩镇	4
451302110000	寺山镇	4
451302111000	城厢镇	4
451302112000	三五镇	4
451302113000	陶邓镇	4
451302114000	石牙镇	4
451302115000	五山镇	4
451302116000	良塘镇	4
451302206000	七洞乡	4
451302213000	南泗乡	4
451302214000	高安乡	4
451302216000	正龙乡	4
451302402000	来华投资区	4
451321000000	忻城县	3
451321100000	城关镇	4
451321101000	大塘镇	4
451321102000	思练镇	4
451321103000	红渡镇	4
451321104000	古蓬镇	4
451321105000	果遂镇	4
451321201000	马泗乡	4
451321202000	欧洞乡	4
451321203000	安东乡	4
451321205000	新圩乡	4
451321206000	遂意乡	4
451321207000	北更乡	4
451322000000	象州县	3
451322100000	象州镇	4
451322101000	石龙镇	4
451322102000	运江镇	4
451322103000	寺村镇	4
451322104000	中平镇	4
451322105000	罗秀镇	4
451322106000	大乐镇	4
451322107000	马坪镇	4
451322201000	妙皇乡	4
451322202000	百丈乡	4
451322203000	水晶乡	4
451323000000	武宣县	3
451323100000	武宣镇	4
451323101000	桐岭镇	4
451323102000	通挽镇	4
451323103000	东乡镇	4
451323104000	三里镇	4
451323105000	二塘镇	4
451323106000	黄茆镇	4
451323107000	禄新镇	4
451323108000	思灵镇	4
451323204000	金鸡乡	4
451324000000	金秀瑶族自治县	3
451324100000	金秀镇	4
451324101000	桐木镇	4
451324102000	头排镇	4
451324200000	三角乡	4
451324201000	忠良乡	4
451324202000	罗香乡	4
451324203000	长垌乡	4
451324204000	大樟乡	4
451324205000	六巷乡	4
451324207000	三江乡	4
451381000000	合山市	3
451381100000	岭南镇	4
451381101000	北泗镇	4
451381102000	河里镇	4
451400000000	崇左市	2
451401000000	市辖区	3
451402000000	江州区	3
451402001000	太平街道	4
451402002000	江南街道	4
451402003000	石景林街道	4
451402101000	新和镇	4
451402102000	濑湍镇	4
451402103000	江州镇	4
451402104000	左州镇	4
451402105000	那隆镇	4
451402106000	驮卢镇	4
451402201000	罗白乡	4
451402202000	板利乡	4
451402400000	新和华侨农场	4
451402401000	左江华侨农场	4
451402402000	中泰产业园	4
451421000000	扶绥县	3
451421100000	新宁镇	4
451421101000	渠黎镇	4
451421102000	渠旧镇	4
451421103000	柳桥镇	4
451421104000	东门镇	4
451421105000	山圩镇	4
451421106000	中东镇	4
451421107000	东罗镇	4
451421201000	龙头乡	4
451421202000	岜盆乡	4
451421203000	昌平乡	4
451422000000	宁明县	3
451422100000	城中镇	4
451422101000	爱店镇	4
451422102000	明江镇	4
451422103000	海渊镇	4
451422104000	桐棉镇	4
451422105000	那堪镇	4
451422106000	亭亮镇	4
451422202000	寨安乡	4
451422203000	峙浪乡	4
451422204000	东安乡	4
451422205000	板棍乡	4
451422206000	北江乡	4
451422209000	那楠乡	4
451422401000	国营宁明华侨农场	4
451422402000	国营天西华侨农场	4
451423000000	龙州县	3
451423100000	龙州镇	4
451423101000	下冻镇	4
451423102000	水口镇	4
451423103000	金龙镇	4
451423104000	响水镇	4
451423201000	八角乡	4
451423202000	上降乡	4
451423203000	彬桥乡	4
451423204000	上龙乡	4
451423205000	武德乡	4
451423206000	逐卜乡	4
451423207000	上金乡	4
451424000000	大新县	3
451424100000	桃城镇	4
451424101000	全茗镇	4
451424102000	雷平镇	4
451424103000	硕龙镇	4
451424104000	下雷镇	4
451424200000	五山乡	4
451424201000	龙门乡	4
451424202000	昌明乡	4
451424203000	福隆乡	4
451424204000	那岭乡	4
451424205000	恩城乡	4
451424206000	榄圩乡	4
451424207000	宝圩乡	4
451424208000	堪圩乡	4
451424400000	国营桃城华侨农场	4
451425000000	天等县	3
451425100000	天等镇	4
451425101000	龙茗镇	4
451425102000	进结镇	4
451425103000	向都镇	4
451425104000	东平镇	4
451425105000	福新镇	4
451425200000	都康乡	4
451425201000	宁干乡	4
451425202000	驮堪乡	4
451425205000	进远乡	4
451425206000	上映乡	4
451425207000	把荷乡	4
451425208000	小山乡	4
451481000000	凭祥市	3
451481100000	凭祥镇	4
451481101000	友谊镇	4
451481102000	上石镇	4
451481103000	夏石镇	4
451481400000	广西凭祥综合保税区	4
