420000  湖北省	1
421024501000	六合垸管理区	4
421071000000	荆州经济技术开发区	3
421071001000	联合街道	4
421071002000	西湖街道	4
421071003000	鱼农桥街道	4
421071100000	滩桥镇	4
421081000000	石首市	3
421081001000	绣林街道	4
421081002000	笔架山街道	4
421081100000	新厂镇	4
421081101000	横沟市镇	4
421081102000	大垸镇	4
421081103000	小河口镇	4
421081104000	桃花山镇	4
421081105000	调关镇	4
421081106000	东升镇	4
421081107000	高基庙镇	4
421081108000	南口镇	4
421081109000	高陵镇	4
421081110000	团山寺镇	4
421081200000	久合垸乡	4
421081500000	天鹅洲开发区	4
421083000000	洪湖市	3
421083001000	新堤街道	4
421083002000	滨湖街道	4
421083100000	螺山镇	4
421083101000	乌林镇	4
421083102000	龙口镇	4
421083103000	燕窝镇	4
421083104000	新滩镇	4
421083105000	峰口镇	4
421083106000	曹市镇	4
421083107000	府场镇	4
421083108000	戴家场镇	4
421083109000	瞿家湾镇	4
421083110000	沙口镇	4
421083111000	万全镇	4
421083112000	汊河镇	4
421083113000	黄家口镇	4
421083200000	老湾乡	4
421083450000	小港管理区	4
421083451000	大同湖管理区	4
421083452000	大沙湖管理区	4
421087000000	松滋市	3
421087100000	新江口镇	4
421087101000	南海镇	4
421087102000	八宝镇	4
421087103000	涴市镇	4
421087104000	老城镇	4
421087105000	陈店镇	4
421087106000	王家桥镇	4
421087107000	斯家场镇	4
421087108000	杨林市镇	4
421087109000	纸厂河镇	4
421087110000	街河市镇	4
421087111000	洈水镇	4
421087112000	刘家场镇	4
421087113000	沙道观镇	4
421087200000	万家乡	4
421087201000	卸甲坪土家族乡	4
421100000000	黄冈市	2
421101000000	市辖区	3
421102000000	黄州区	3
421102001000	赤壁街道	4
421102002000	东湖街道	4
421102003000	禹王街道	4
421102004000	南湖街道	4
421102100000	路口镇	4
421102101000	堵城镇	4
421102102000	陈策楼镇	4
421102200000	陶店乡	4
421102450000	火车站开发区	4
421102470000	黄冈高新技术产业园区	4
421102471000	武汉经济技术开发区黄冈产业园管委会	4
421121000000	团风县	3
421121100000	团风镇	4
421121101000	淋山河镇	4
421121102000	方高坪镇	4
421121103000	回龙山镇	4
421121104000	马曹庙镇	4
421121105000	上巴河镇	4
421121106000	总路咀镇	4
421121107000	但店镇	4
421121200000	贾庙乡	4
421121201000	杜皮乡	4
421121400000	黄湖农场	4
421121401000	金锣港农场	4
421122000000	红安县	3
421122100000	城关镇	4
421122101000	七里坪镇	4
421122102000	华家河镇	4
421122103000	二程镇	4
421122104000	上新集镇	4
421122105000	高桥镇	4
421122106000	觅儿寺镇	4
421122107000	八里湾镇	4
421122108000	太平桥镇	4
421122109000	永佳河镇	4
421122200000	杏花乡	4
421122500000	火连畈茶场	4
421122501000	天台山管理处	4
421122503000	红安经济开发区	4
421123000000	罗田县	3
421123100000	凤山镇	4
421123101000	骆驼坳镇	4
421123102000	大河岸镇	4
421123103000	九资河镇	4
421123104000	胜利镇	4
421123105000	河铺镇	4
421123106000	三里畈镇	4
421123107000	匡河镇	4
421123108000	白庙河镇	4
421123109000	大崎镇	4
421123200000	白莲河乡	4
421123203000	平湖乡	4
421123400000	罗田县经济开发区	4
421123500000	青苔关林场	4
421123501000	天堂寨林场	4
421123502000	薄刀峰林场	4
421123503000	黄狮寨林场	4
421124000000	英山县	3
421124100000	温泉镇	4
421124101000	南河镇	4
421124102000	红山镇	4
421124103000	金家铺镇	4
421124104000	石头咀镇	4
421124105000	草盘地镇	4
421124106000	雷家店镇	4
421124107000	杨柳湾镇	4
421124200000	方家咀乡	4
421124201000	孔家坊乡	4
421124202000	陶家河乡	4
421124400000	桃花冲林场	4
421124401000	吴家山林场	4
421124402000	五峰山林场	4
421124403000	英山县经济开发区	4
421125000000	浠水县	3
421125100000	清泉镇	4
421125101000	巴河镇	4
421125102000	竹瓦镇	4
421125103000	汪岗镇	4
421125104000	团陂镇	4
421125105000	关口镇	4
421125106000	白莲镇	4
421125107000	蔡河镇	4
421125108000	洗马镇	4
421125109000	丁司垱镇	4
421125110000	散花镇	4
421125111000	兰溪镇	4
421125200000	绿杨乡	4
421125400000	策湖国家湿地公园管理处	4
421125401000	三角山旅游度假区管理委员会	4
421125402000	经济开发区镇	4
421126000000	蕲春县	3
421126100000	漕河镇	4
421126101000	赤东镇	4
421126102000	蕲州镇	4
421126103000	管窑镇	4
421126104000	彭思镇	4
421126105000	横车镇	4
421126106000	株林镇	4
421126107000	刘河镇	4
421126108000	狮子镇	4
421126109000	青石镇	4
421126110000	张榜镇	4
421126111000	大同镇	4
421126112000	檀林镇	4
421126200000	向桥乡	4
421126450000	八里湖农场	4
421126451000	蕲春经济开发区管委会	4
421126453000	河西工业园区	4
421127000000	黄梅县	3
421127100000	黄梅镇	4
421127101000	孔垄镇	4
421127102000	小池镇	4
421127103000	下新镇	4
421127104000	大河镇	4
421127105000	停前镇	4
421127106000	五祖镇	4
421127107000	濯港镇	4
421127108000	蔡山镇	4
421127109000	新开镇	4
421127110000	独山镇	4
421127111000	分路镇	4
421127200000	柳林乡	4
421127201000	杉木乡	4
421127202000	苦竹乡	4
421127203000	刘佐乡	4
421127400000	五祖寺（挪步园）风景名胜区	4
421171000000	龙感湖管理区	3
421171450000	严家闸办事处	4
421171451000	芦柴湖办事处	4
421171452000	洋湖办事处	4
421171453000	沙湖办事处	4
421171454000	春港办事处	4
421171455000	塞湖办事处	4
421171456000	青泥湖办事处	4
421171457000	湖北龙感湖工业园区	4
421181000000	麻城市	3
421181001000	龙池街道	4
421181002000	鼓楼街道	4
421181003000	南湖街道	4
421181100000	中馆驿镇	4
421181101000	宋埠镇	4
421181102000	歧亭镇	4
421181103000	白果镇	4
421181104000	夫子河镇	4
421181105000	阎家河镇	4
421181106000	龟山镇	4
421181107000	盐田河镇	4
421181108000	张家畈镇	4
421181109000	木子店镇	4
421181110000	三河口镇	4
421181111000	黄土岗镇	4
421181112000	福田河镇	4
421181113000	乘马岗镇	4
421181114000	顺河镇	4
421181200000	铁门岗乡	4
421181401000	宋埠良种场	4
421181402000	麻城明山水库	4
421181403000	麻城三河水库	4
421181404000	狮子峰林场	4
421181405000	麻城林店茶场	4
421181471000	湖北省麻城开发区	4
421181472000	龟山风景区管理处	4
421181473000	湖北浮桥河国家湿地公园管理处	4
421181500000	五脑山林场	4
421182000000	武穴市	3
421182001000	武穴街道	4
421182002000	刊江街道	4
421182003000	田镇街道	4
421182004000	万丈湖街道	4
421182100000	梅川镇	4
421182101000	余川镇	4
421182102000	花桥镇	4
421182103000	大金镇	4
421182104000	石佛寺镇	4
421182105000	四望镇	4
421182106000	大法寺镇	4
421182107000	龙坪镇	4
421200000000	咸宁市	2
421201000000	市辖区	3
421202000000	咸安区	3
421202001000	温泉街道	4
421202002000	浮山街道	4
421202003000	永安街道	4
421202100000	汀泗桥镇	4
421202101000	向阳湖镇	4
421202102000	官埠桥镇	4
421202103000	横沟桥镇	4
421202104000	贺胜桥镇	4
421202105000	双溪桥镇	4
421202106000	马桥镇	4
421202107000	桂花镇	4
421202108000	高桥镇	4
421202200000	大幕乡	4
421202450000	向阳湖奶牛良种场	4
421202451000	咸安商贸物流区	4
421202570000	咸宁市经济技术开发区	4
421202571000	湖北咸安经济开发区	4
421221000000	嘉鱼县	3
421221100000	陆溪镇	4
421221101000	高铁岭镇	4
421221102000	官桥镇	4
421221103000	鱼岳镇	4
421221104000	新街镇	4
421221105000	渡普镇	4
421221106000	潘家湾镇	4
421221107000	牌洲湾镇	4
421221450000	头墩农场	4
421221570000	嘉鱼县经济开发区	4
421222000000	通城县	3
421222100000	隽水镇	4
421222101000	麦市镇	4
421222102000	塘湖镇	4
421222103000	关刀镇	4
421222104000	沙堆镇	4
421222105000	五里镇	4
421222106000	石南镇	4
421222107000	北港镇	4
421222108000	马港镇	4
421222200000	四庄乡	4
421222201000	大坪乡	4
421222500000	鹿角山林场	4
421222501000	锡山森林公园管理处	4
421222502000	黄龙林场	4
421222503000	黄袍林场	4
421222504000	药姑林场	4
421223000000	崇阳县	3
421223100000	天城镇	4
421223101000	沙坪镇	4
421223102000	石城镇	4
421223103000	桂花泉镇	4
421223104000	白霓镇	4
421223105000	路口镇	4
421223106000	金塘镇	4
421223107000	青山镇	4
421223200000	肖岭乡	4
421223201000	铜钟乡	4
421223202000	港口乡	4
421223203000	高枧乡	4
421223570000	崇阳县工业园区	4
421224000000	通山县	3
421224100000	通羊镇	4
421224101000	南林桥镇	4
421224102000	黄沙铺镇	4
421224103000	厦铺镇	4
421224104000	九宫山镇	4
421224105000	闯王镇	4
421224106000	洪港镇	4
421224107000	大畈镇	4
421224200000	大路乡	4
421224201000	杨芳林乡	4
421224202000	燕厦乡	4
421224203000	慈口乡	4
421224450000	九宫山自然保护管理局	4
421224570000	开发区	4
421281000000	赤壁市	3
421281001000	蒲圻街道	4
421281002000	赤马港街道	4
421281003000	陆水湖街道	4
421281100000	新店镇	4
421281101000	赵李桥镇	4
421281102000	茶庵岭镇	4
421281103000	车埠镇	4
421281104000	赤壁镇	4
421281105000	柳山湖镇	4
421281106000	神山镇	4
421281107000	中伙铺镇	4
421281108000	官塘驿镇	4
421281109000	黄盖湖镇	4
421281200000	余家桥乡	4
421281400000	蒲纺工业园	4
421281401000	官塘驿林场	4
421281402000	羊楼洞茶场	4
421281403000	沧湖开发区	4
421281404000	赤壁市经济开发区	4
421300000000	随州市	2
421301000000	市辖区	3
421303000000	曾都区	3
421303001000	西城街道	4
421303002000	东城街道	4
421303003000	南郊街道	4
421303004000	北郊街道	4
421303005000	城南新区街道	4
421303101000	万店镇	4
421303102000	何店镇	4
421303103000	洛阳镇	4
421303104000	府河镇	4
421303187000	淅河镇	4
421303499000	曾都区新型工业基地	4
421303587000	随州市经济开发区	4
421321000000	随县	3
421321101000	厉山镇	4
421321102000	高城镇	4
421321103000	殷店镇	4
421321104000	草店镇	4
421321105000	小林镇	4
421321106000	淮河镇	4
421321107000	万和镇	4
421321108000	尚市镇	4
421321109000	唐县镇	4
421321110000	吴山镇	4
421321111000	新街镇	4
421321112000	安居镇	4
421321113000	澴潭镇	4
421321114000	洪山镇	4
421321115000	长岗镇	4
421321116000	三里岗镇	4
421321117000	柳林镇	4
421321118000	均川镇	4
421321119000	万福店镇	4
421381000000	广水市	3
421381001000	应山街道	4
421381002000	十里街道	4
421381003000	广水街道	4
421381004000	城郊街道	4
421381100000	武胜关镇	4
421381101000	杨寨镇	4
421381102000	陈巷镇	4
421381103000	长岭镇	4
421381104000	马坪镇	4
421381105000	关庙镇	4
421381106000	余店镇	4
421381107000	吴店镇	4
421381108000	郝店镇	4
421381109000	蔡河镇	4
421381110000	李店镇	4
421381111000	太平镇	4
421381112000	骆店镇	4
421381400000	中华山林场	4
421381401000	三潭风景区	4
421381402000	工业基地	4
422800000000	恩施土家族苗族自治州	2
422801000000	恩施市	3
422801001000	舞阳坝街道	4
422801002000	六角亭街道	4
422801003000	小渡船街道	4
422801100000	龙凤镇	4
422801101000	崔家坝镇	4
422801102000	板桥镇	4
422801103000	白杨坪镇	4
422801104000	三岔镇	4
422801201000	新塘乡	4
422801202000	红土乡	4
422801203000	沙地乡	4
422801204000	太阳河乡	4
422801205000	屯堡乡	4
422801206000	白果乡	4
422801207000	芭蕉侗族乡	4
422801208000	盛家坝乡	4
422801400000	恩施大峡谷风景管理处	4
422802000000	利川市	3
422802001000	都亭街道	4
422802002000	东城街道	4
422802100000	谋道镇	4
422802101000	柏杨坝镇	4
422802102000	汪营镇	4
422802103000	建南镇	4
422802104000	忠路镇	4
422802105000	团堡镇	4
422802106000	毛坝镇	4
422802200000	凉雾乡	4
422802201000	元堡乡	4
422802202000	南坪乡	4
422802203000	文斗乡	4
422802205000	沙溪乡	4
422822000000	建始县	3
422822100000	业州镇	4
422822101000	高坪镇	4
422822102000	红岩寺镇	4
422822103000	景阳镇	4
422822104000	官店镇	4
422822105000	花坪镇	4
422822106000	长梁镇	4
422822201000	茅田乡	4
422822202000	龙坪乡	4
422822203000	三里乡	4
422823000000	巴东县	3
422823100000	信陵镇	4
422823101000	东瀼口镇	4
422823102000	沿渡河镇	4
422823103000	官渡口镇	4
422823104000	茶店子镇	4
422823105000	绿葱坡镇	4
422823106000	大支坪镇	4
422823107000	野三关镇	4
422823108000	水布垭镇	4
422823109000	清太坪镇	4
422823200000	溪丘湾乡	4
422823201000	金果坪乡	4
422825000000	宣恩县	3
422825100000	珠山镇	4
422825101000	椒园镇	4
422825102000	沙道沟镇	4
422825103000	李家河镇	4
422825104000	高罗镇	4
422825200000	万寨乡	4
422825201000	长潭河侗族乡	4
422825203000	晓关侗族乡	4
422825205000	椿木营乡	4
422826000000	咸丰县	3
422826100000	高乐山镇	4
422826101000	忠堡镇	4
422826102000	坪坝营镇	4
422826103000	朝阳寺镇	4
422826104000	清坪镇	4
422826105000	唐崖镇	4
422826106000	曲江镇	4
422826202000	活龙坪乡	4
422826203000	小村乡	4
422826204000	黄金洞乡	4
422826400000	大路坝区	4
422827000000	来凤县	3
422827100000	翔凤镇	4
422827101000	百福司镇	4
422827102000	大河镇	4
422827103000	绿水镇	4
422827104000	旧司镇	4
422827105000	革勒车镇	4
422827200000	漫水乡	4
422827202000	三胡乡	4
422828000000	鹤峰县	3
422828100000	走马镇	4
422828101000	容美镇	4
422828102000	太平镇	4
422828103000	燕子镇	4
422828104000	中营镇	4
422828200000	铁炉乡	4
422828201000	五里乡	4
422828203000	下坪乡	4
422828204000	邬阳乡	4
429000000000	省直辖县级行政区划	2
429004000000	仙桃市	3
429004001000	沙嘴街道	4
429004002000	干河街道	4
429004003000	龙华山街道	4
429004100000	郑场镇	4
429004101000	毛嘴镇	4
429004102000	豆河镇	4
429004103000	三伏潭镇	4
429004104000	胡场镇	4
429004105000	长倘口镇	4
429004106000	西流河镇	4
429004107000	沙湖镇	4
429004108000	杨林尾镇	4
429004109000	彭场镇	4
429004110000	张沟镇	4
429004111000	郭河镇	4
429004112000	沔城回族镇	4
429004113000	通海口镇	4
429004114000	陈场镇	4
429004400000	工业园区	4
429004401000	九合垸原种场	4
429004402000	沙湖原种场	4
429004404000	五湖渔场	4
429004405000	赵西垸林场	4
429004407000	畜禽良种场	4
429004408000	排湖风景区	4
429005000000	潜江市	3
429005001000	园林街道	4
429005002000	杨市街道	4
429005003000	周矶街道	4
429005004000	广华街道	4
429005005000	泰丰街道	4
429005006000	高场街道	4
429005100000	竹根滩镇	4
429005101000	渔洋镇	4
429005102000	王场镇	4
429005103000	高石碑镇	4
429005104000	熊口镇	4
429005105000	老新镇	4
429005106000	浩口镇	4
429005107000	积玉口镇	4
429005108000	张金镇	4
429005109000	龙湾镇	4
429005400000	江汉石油管理局	4
429005401000	潜江经济开发区	4
429005450000	周矶管理区	4
429005451000	后湖管理区	4
429005452000	熊口管理区	4
429005453000	总口管理区	4
429005454000	白鹭湖管理区	4
429005455000	运粮湖管理区	4
429005457000	浩口原种场	4
429006000000	天门市	3
429006001000	竟陵街道	4
429006002000	候口街道	4
429006003000	杨林街道	4
429006100000	多宝镇	4
429006101000	拖市镇	4
429006102000	张港镇	4
429006103000	蒋场镇	4
429006104000	汪场镇	4
429006105000	渔薪镇	4
429006106000	黄潭镇	4
429006107000	岳口镇	4
429006108000	横林镇	4
429006109000	彭市镇	4
429006110000	麻洋镇	4
429006111000	多祥镇	4
429006112000	干驿镇	4
429006113000	马湾镇	4
429006114000	卢市镇	4
429006115000	小板镇	4
429006116000	九真镇	4
429006118000	皂市镇	4
429006119000	胡市镇	4
429006120000	石家河镇	4
429006121000	佛子山镇	4
429006201000	净潭乡	4
429006450000	蒋湖农场	4
429006451000	白茅湖农场	4
429006452000	沉湖管委会	4
429021000000	神农架林区	3
429021100000	松柏镇	4
429021101000	阳日镇	4
429021102000	木鱼镇	4
429021103000	红坪镇	4
429021104000	新华镇	4
429021105000	九湖镇	4
429021200000	宋洛乡	4
429021202000	下谷坪土家族乡	4
